student_id,department,year,gender,attendance_percentage,classes_missed,mood_score,stress_score,sleep_hours,energy_level,gpa,assignments_pending,exam_days_left,study_hours,internal_marks,lab_performance,counselor_sentiment,counselor_visits,extracurricular_hours,financial_stress,social_support,risk_level
1,CE,1,Male,80,7,1,5,4.5,3,8.68,10,47,8.9,45,77,Neutral,0,0.4,2,2,Medium
2,CSE,4,Male,85,34,7,4,5.7,5,9.05,0,48,8.1,84,67,Neutral,4,1.9,3,1,Low
3,IT,2,Female,62,22,10,5,7.8,8,7.68,6,5,5.5,93,80,Negative,5,6.9,1,1,Medium
4,IT,2,Male,45,14,2,7,4.7,6,5.81,5,13,6.7,84,99,Negative,1,7.3,2,5,High
5,ECE,4,Female,69,24,5,9,4.3,6,9.21,0,14,8.2,91,60,Neutral,4,0.8,5,3,Medium
6,CSE,2,Male,96,29,3,5,3.8,9,7.69,9,27,9.0,65,63,Positive,2,6.1,1,1,Medium
7,IT,3,Male,90,27,10,2,5.3,10,9.98,8,16,9.7,95,100,Positive,1,8.2,5,3,Low
8,ECE,1,Female,58,27,3,8,3.0,5,9.86,2,32,9.1,95,80,Neutral,8,7.3,2,3,Medium
9,ECE,4,Male,71,1,2,6,8.3,5,6.2,3,56,5.7,45,45,Negative,7,9.8,5,2,High
10,ECE,2,Male,56,33,10,7,8.8,9,8.78,3,45,3.1,82,81,Neutral,7,10.8,4,1,Medium
11,ECE,2,Female,61,1,10,9,4.4,4,5.04,10,3,2.3,97,42,Neutral,1,6.2,3,4,High
12,ECE,2,Male,55,30,7,4,3.6,7,6.77,6,29,8.6,43,83,Negative,1,0.7,3,1,Medium
13,CSE,2,Male,74,28,3,7,4.1,8,6.25,1,28,8.1,94,75,Positive,0,7.8,5,1,Medium
14,ECE,2,Female,66,31,8,4,8.2,1,5.82,0,24,2.7,90,90,Neutral,4,5.1,5,4,Medium
15,CSE,1,Male,53,3,10,9,3.4,6,5.29,9,30,5.0,94,73,Positive,0,11.5,1,2,High
16,EEE,4,Male,65,7,10,4,6.5,1,8.1,6,42,5.8,73,60,Neutral,3,8.0,3,2,Medium
17,ECE,3,Female,82,19,8,6,8.6,2,5.05,9,36,10.0,44,74,Positive,8,3.2,3,1,Medium
18,ECE,3,Female,50,28,9,5,6.7,9,5.04,8,19,9.3,46,100,Positive,4,1.4,1,5,Medium
19,EEE,2,Female,78,13,6,4,7.1,5,7.53,4,57,9.1,43,45,Negative,6,10.0,1,1,Low
20,EEE,1,Female,50,28,9,7,6.4,2,5.38,2,34,0.4,63,77,Negative,2,5.2,1,3,Medium
21,IT,2,Female,53,15,2,6,7.7,7,9.87,2,59,9.3,95,50,Positive,6,0.3,3,4,Medium
22,EEE,3,Male,50,6,7,1,8.2,4,6.0,7,22,3.1,90,95,Positive,3,0.3,2,4,Medium
23,EEE,3,Female,89,17,6,9,5.4,9,6.66,0,7,8.8,56,51,Negative,4,0.5,5,4,Medium
24,CE,3,Male,78,32,2,7,8.4,4,6.27,6,0,5.2,91,74,Negative,3,4.4,1,3,Medium
25,CE,1,Female,86,19,9,5,7.0,6,7.01,4,35,1.3,66,82,Neutral,2,7.4,3,4,Low
26,IT,3,Male,58,13,7,10,6.6,6,7.32,7,43,2.1,70,90,Negative,2,7.9,3,5,Medium
27,IT,4,Female,92,15,5,4,7.8,3,5.12,3,30,6.1,89,44,Neutral,6,10.6,5,2,Medium
28,ECE,4,Female,65,15,3,1,8.4,2,8.89,3,11,8.0,84,73,Neutral,0,6.7,1,4,Medium
29,IT,2,Female,100,28,10,9,5.6,9,7.23,2,47,8.6,68,56,Positive,4,9.2,5,4,Low
30,CE,4,Female,68,4,5,4,4.6,6,9.47,1,8,1.5,64,84,Positive,3,0.8,4,3,Medium
31,ME,2,Female,43,13,7,7,8.4,10,9.73,0,54,8.8,76,64,Neutral,0,11.3,3,4,Low
32,CE,1,Male,54,17,7,8,3.2,6,8.34,6,46,1.7,69,98,Positive,8,0.3,4,5,Medium
33,CSE,4,Male,81,27,3,8,4.1,5,6.9,3,29,3.3,88,96,Neutral,4,9.0,4,3,Medium
34,ME,1,Male,87,34,1,6,4.3,2,8.91,10,2,7.5,100,55,Positive,0,7.5,2,2,Medium
35,CE,2,Male,69,16,6,3,6.6,2,8.89,2,19,1.1,41,99,Neutral,6,4.8,2,1,Low
36,CSE,4,Female,84,19,10,2,7.8,10,8.91,5,34,4.3,63,44,Negative,5,0.2,4,4,Low
37,EEE,2,Male,80,29,3,7,4.1,9,9.83,4,39,8.1,74,89,Neutral,7,5.2,5,3,Medium
38,CE,1,Male,57,28,4,8,6.4,7,6.68,7,54,3.3,71,53,Neutral,4,4.1,5,3,Medium
39,IT,3,Female,45,15,7,8,6.3,4,8.45,10,45,4.9,90,41,Positive,4,2.7,2,3,Medium
40,ECE,2,Female,75,33,6,7,9.0,9,6.65,7,17,3.1,54,47,Negative,3,3.8,5,2,Medium
41,CE,3,Male,57,37,9,10,4.7,2,9.16,4,14,3.6,59,40,Negative,8,1.5,1,1,High
42,CSE,1,Male,80,31,2,1,6.4,8,7.39,5,11,9.7,56,100,Neutral,1,9.9,4,4,Low
43,CE,4,Female,49,36,5,2,9.0,2,7.79,6,38,6.0,79,54,Negative,6,5.4,4,3,Medium
44,CSE,4,Female,76,39,1,10,8.8,2,9.74,3,40,2.1,82,45,Positive,3,2.1,1,2,Medium
45,IT,2,Female,84,38,8,5,3.2,5,8.53,7,4,6.9,99,56,Negative,3,5.1,5,2,Medium
46,CE,4,Female,92,9,2,1,4.0,5,7.98,9,58,2.9,47,69,Negative,4,8.4,3,5,Medium
47,CSE,2,Female,45,38,1,7,7.4,10,6.25,1,14,9.6,93,95,Negative,0,12.0,3,5,High
48,IT,4,Female,73,28,5,3,9.0,7,8.17,7,5,4.7,66,61,Neutral,1,10.3,3,4,Low
49,CE,3,Female,82,25,9,1,5.7,6,6.26,1,49,4.0,72,92,Positive,8,5.5,1,2,Low
50,CSE,4,Male,80,28,1,4,4.6,3,9.64,7,56,7.0,47,41,Negative,3,8.5,3,5,Medium
51,ME,2,Male,54,7,8,2,6.9,3,7.49,4,32,7.1,66,93,Neutral,7,2.9,5,2,Medium
52,ME,3,Female,95,4,5,7,5.0,9,6.34,0,18,7.3,93,77,Negative,7,10.4,4,5,Medium
53,ME,2,Female,75,34,7,8,8.6,4,9.9,3,36,3.8,94,89,Neutral,0,3.8,4,4,Low
54,ME,3,Female,42,8,9,10,5.0,2,9.37,7,6,5.3,69,40,Negative,2,4.9,2,1,High
55,ECE,1,Female,79,25,2,6,8.1,9,6.9,5,40,7.2,88,71,Negative,0,7.4,2,3,Medium
56,CE,2,Male,46,40,2,8,4.0,5,9.52,0,20,8.0,58,62,Neutral,6,1.7,5,4,High
57,IT,2,Male,51,5,10,7,6.7,4,7.49,9,9,2.3,80,56,Neutral,4,8.0,4,3,Medium
58,CE,3,Female,68,22,10,5,6.8,7,8.45,7,54,3.0,64,94,Neutral,1,2.8,5,3,Medium
59,EEE,2,Male,41,25,5,1,6.4,1,9.55,7,53,9.0,58,89,Positive,5,2.6,2,5,Low
60,CE,3,Male,97,40,1,5,7.7,1,7.9,2,5,9.1,60,87,Neutral,2,2.4,5,3,Low
61,CSE,4,Male,56,30,5,6,7.8,8,9.81,2,48,9.7,95,83,Negative,6,11.6,5,3,Medium
62,CE,2,Male,56,34,2,8,5.2,5,7.92,10,60,3.7,83,54,Neutral,0,7.4,5,3,High
63,ME,2,Female,80,29,5,7,3.7,1,9.73,4,31,1.2,55,96,Negative,2,4.7,3,5,Low
64,IT,3,Male,81,6,8,10,5.4,5,5.16,5,13,4.4,100,55,Neutral,1,11.8,3,5,Medium
65,CSE,2,Male,65,17,4,2,8.7,8,5.46,3,41,6.4,41,43,Neutral,3,11.9,5,2,Medium
66,CE,3,Male,92,14,6,3,7.7,10,5.01,2,8,5.4,91,51,Positive,0,1.6,3,2,Low
67,CSE,3,Female,51,16,1,3,7.5,9,5.57,1,30,4.5,63,72,Negative,1,5.4,2,5,High
68,EEE,3,Female,81,1,1,8,8.1,7,8.43,7,45,9.1,44,97,Positive,5,7.3,1,2,Medium
69,EEE,4,Female,78,33,5,8,6.0,7,5.5,1,54,6.5,96,89,Negative,3,5.2,2,4,Medium
70,CE,1,Female,66,6,6,7,4.9,5,6.87,2,43,9.2,44,45,Positive,1,5.2,3,2,Medium
71,CSE,3,Female,82,7,7,6,8.2,7,9.34,0,18,6.0,62,46,Negative,8,2.6,4,2,Medium
72,EEE,3,Male,47,17,10,4,7.8,9,9.87,9,39,6.7,75,41,Negative,4,0.3,3,3,Medium
73,CE,1,Male,51,9,10,7,3.4,1,5.46,8,13,3.8,69,61,Positive,5,3.7,3,5,Medium
74,EEE,4,Female,49,10,10,1,7.0,5,7.22,6,31,6.1,66,57,Positive,8,1.4,4,1,Medium
75,ECE,4,Male,42,14,7,10,3.3,4,6.51,3,49,1.4,56,58,Neutral,1,0.1,4,2,Medium
76,CSE,4,Male,72,35,6,2,5.4,1,7.18,7,58,0.8,60,76,Neutral,6,8.5,4,3,Low
77,EEE,2,Male,60,10,10,8,8.0,6,5.44,1,15,4.4,65,73,Positive,6,10.4,3,2,Medium
78,ECE,4,Female,72,40,2,9,6.1,6,6.76,10,52,1.5,46,49,Neutral,3,2.1,2,1,Medium
79,EEE,1,Female,88,36,10,8,7.1,10,8.21,9,20,8.6,80,60,Positive,7,0.8,4,3,Medium
80,IT,1,Female,72,4,5,8,5.7,1,6.84,4,4,6.4,94,45,Negative,8,4.6,5,5,Medium
81,ECE,4,Female,98,36,4,6,6.6,9,5.75,0,28,1.0,97,93,Neutral,1,6.1,2,1,Low
82,IT,4,Female,73,33,10,3,5.2,5,6.94,5,43,6.0,90,80,Negative,5,0.8,1,5,Low
83,ECE,1,Female,56,38,3,6,3.5,3,9.58,4,41,7.0,65,48,Negative,1,3.7,4,3,High
84,CE,1,Female,72,23,1,6,4.9,4,6.71,7,12,2.3,48,49,Positive,4,10.1,1,5,Medium
85,CE,3,Female,96,39,3,10,5.3,3,5.9,9,51,9.0,86,68,Positive,6,4.4,2,4,Medium
86,ME,2,Male,54,34,4,5,8.8,8,9.52,3,23,6.8,76,68,Neutral,4,9.3,5,5,Low
87,ME,2,Female,91,38,3,5,3.3,8,9.37,8,59,1.0,94,73,Positive,4,1.0,2,3,Medium
88,ECE,2,Male,45,14,8,6,8.6,7,5.27,8,23,2.4,45,63,Positive,0,3.8,1,3,Medium
89,EEE,1,Male,58,30,3,8,5.7,1,9.53,0,16,2.2,49,75,Negative,8,5.1,3,2,High
90,ECE,4,Male,55,26,10,8,3.4,8,7.98,0,40,5.2,55,85,Positive,4,5.2,5,3,Medium
91,EEE,1,Female,82,5,9,6,3.4,9,7.72,8,35,0.2,95,70,Positive,6,11.8,3,1,Low
92,ECE,1,Female,55,40,2,10,7.4,6,5.67,5,34,3.4,81,51,Negative,7,11.8,4,2,High
93,EEE,1,Female,42,18,4,1,7.7,1,6.58,4,32,4.0,92,74,Neutral,4,0.4,2,3,Low
94,CSE,4,Male,57,7,6,7,8.3,8,9.47,6,21,9.7,71,84,Neutral,5,11.1,5,3,Medium
95,CSE,3,Female,67,38,3,9,4.8,2,5.4,10,18,3.1,78,85,Neutral,2,8.3,3,4,High
96,IT,3,Female,57,40,1,2,7.0,7,6.82,10,10,9.5,49,94,Negative,7,0.4,1,2,High
97,CSE,1,Male,64,36,1,10,3.9,8,9.74,5,28,7.6,76,48,Negative,5,4.8,3,2,High
98,ECE,4,Male,71,33,7,9,3.7,5,8.52,3,39,2.9,98,71,Positive,1,1.6,1,4,Low
99,ECE,2,Female,91,20,6,2,6.3,5,9.46,2,45,7.1,84,80,Positive,5,6.1,1,2,Low
100,CSE,2,Female,41,23,9,10,5.2,9,5.65,1,4,3.1,85,86,Neutral,8,4.9,4,5,Medium
101,CE,2,Female,81,4,8,8,7.1,6,5.64,8,40,5.9,89,48,Neutral,8,10.9,1,1,Medium
102,IT,2,Male,50,10,6,4,5.1,9,9.47,1,16,2.0,75,57,Positive,4,7.4,1,5,Low
103,CE,1,Female,50,39,10,6,8.1,10,5.21,0,5,0.5,81,89,Negative,4,7.8,5,4,Medium
104,ECE,3,Male,96,40,9,5,6.9,5,7.41,10,25,3.0,44,84,Positive,2,5.3,4,4,Low
105,ME,4,Male,60,20,6,7,3.8,6,7.57,1,20,2.4,47,57,Neutral,3,1.7,1,3,Low
106,ME,2,Male,95,10,6,10,7.3,4,8.82,7,32,4.7,96,59,Neutral,0,1.1,4,5,Medium
107,ME,3,Male,77,22,1,1,4.7,10,9.41,10,43,4.7,74,40,Positive,6,1.6,3,3,Medium
108,EEE,3,Female,65,3,10,9,4.2,9,6.44,6,32,4.5,75,57,Negative,1,1.5,1,4,High
109,EEE,3,Male,88,9,4,10,6.1,9,5.2,0,8,7.1,91,70,Negative,7,1.8,5,2,High
110,IT,1,Female,65,39,5,10,5.0,9,7.66,9,19,4.7,41,63,Neutral,1,11.8,5,3,Medium
111,CE,1,Male,56,37,10,4,7.3,10,7.4,8,40,7.2,89,93,Neutral,2,9.9,2,1,Medium
112,CE,3,Female,41,28,6,7,3.9,4,7.05,9,58,4.7,94,87,Negative,0,8.5,5,2,High
113,EEE,3,Male,73,24,6,3,5.8,9,6.71,5,43,7.7,86,83,Negative,4,7.3,2,2,Low
114,ME,3,Male,100,19,5,4,7.1,8,6.59,5,35,9.3,90,86,Neutral,4,1.5,5,4,Low
115,ECE,2,Male,58,2,5,2,5.1,8,8.28,7,13,2.0,74,57,Negative,4,1.6,5,5,Medium
116,IT,2,Female,82,33,4,4,3.3,7,6.65,7,6,6.8,48,40,Negative,2,4.9,4,4,Medium
117,ECE,3,Male,60,18,1,2,6.9,4,7.68,0,58,9.2,66,96,Positive,0,12.0,4,4,Medium
118,EEE,2,Female,40,19,10,10,3.6,6,6.42,10,34,5.2,96,100,Positive,8,5.6,2,1,High
119,IT,1,Male,81,16,3,1,7.4,5,7.84,3,11,6.1,80,97,Neutral,6,6.2,1,4,Low
120,IT,1,Female,48,30,6,4,3.0,7,6.18,4,21,3.0,86,76,Positive,4,7.8,2,1,Medium
121,ME,3,Female,59,10,7,9,8.5,5,8.45,10,58,9.4,63,79,Positive,3,11.5,4,2,Medium
122,CE,1,Male,84,35,8,9,7.8,4,8.81,10,48,6.0,90,45,Negative,7,6.3,3,1,Medium
123,CSE,4,Male,93,35,9,4,6.4,3,5.82,8,28,1.2,53,85,Negative,7,1.1,5,4,Medium
124,EEE,1,Male,72,26,8,10,3.3,8,8.36,4,46,0.2,56,92,Positive,3,6.9,1,4,Low
125,CSE,2,Female,99,4,8,1,4.7,3,8.84,10,46,6.5,66,63,Neutral,7,10.4,4,4,Low
126,ME,3,Male,47,11,9,7,6.2,4,9.17,0,19,4.6,86,74,Neutral,8,4.6,2,2,Low
127,IT,1,Female,57,12,2,1,7.9,7,8.07,0,15,2.1,46,78,Positive,7,7.2,1,2,Medium
128,ECE,4,Female,68,14,9,4,7.5,1,5.7,4,14,8.2,86,76,Neutral,5,2.8,2,5,Medium
129,ME,2,Female,57,3,9,10,8.3,3,8.13,6,35,5.0,62,100,Negative,6,9.4,3,4,Medium
130,ECE,3,Male,64,11,9,8,4.4,4,6.5,2,51,4.6,43,75,Neutral,6,6.7,2,4,Medium
131,ECE,4,Male,61,5,8,6,3.6,4,5.26,6,43,6.0,42,95,Positive,3,9.7,5,5,Medium
132,EEE,3,Female,95,21,5,1,4.3,4,9.81,1,47,10.0,70,98,Positive,3,4.8,2,5,Low
133,CE,2,Male,69,34,6,5,4.6,9,9.41,7,6,8.0,86,70,Neutral,3,4.4,4,1,Medium
